"Name","Address3","Address2","Address","Damage11","Damage12","Damage13","Damage14","Damage2"
" Family Dollar",NA,NA," 3110 Penn Ave N"," extensive damage ",NA,NA,NA,NA
" Union Liquor",NA,NA," 3219 Penn Ave N"," extensive damage",NA,NA,NA,NA
" Broadway Liquor Outlet",NA,NA,NA," extensive damage ",NA,NA,NA,NA
" All Washed Up Laundromat",NA,NA," 3008 Penn Ave"," damage ",NA,NA,NA,NA
" Penn Gas Stop",NA,NA," 2606 Penn Ave N"," extensive damage"," looting ",NA,NA,NA
" Aldi Grocery",NA,NA," Penn Ave N"," damage ",NA,NA,NA,NA
" Family Dollar",NA,NA," 505 W Broadway"," looting ",NA,NA,NA,NA
" Neighbors One Stop Inc. Gas station",NA,NA," 3759 Penn Ave N"," fire ",NA,NA,NA,NA
" North End Hardware",NA,NA," Penn Ave N"," property damage ",NA,NA,NA,NA
" Walgreens St Louis Park",NA,NA,NA," looting",NA,NA,NA,NA
" Nokomis Shoe Shop",NA,"4950 34th Ave",NA," property damage",NA,NA,NA,NA
" Sabri Commons",NA,"East Lake Street",NA," looting",NA,NA,NA,NA
" International Bazaar",NA,"East Lake Street",NA," looting",NA,NA,NA,NA
" 315 East Lake Street",NA,NA,NA," fire damage"," looting",NA,NA,NA
" Yusuf Center East Lake Street",NA,NA,NA," looting",NA,NA,NA,NA
" Plaza Mexico East Lake Street",NA,NA,NA," looting",NA,NA,NA,NA
" El Nuevo Miramar East Lake Street",NA,NA,NA," looting",NA,NA,NA,NA
" Extreme Noise Records Lake Street",NA,NA,NA," property damage",NA,NA,NA,NA
" Piff Streetwear Como Avenue",NA,NA,NA," property damage and looting",NA,NA,NA,NA
" Como Tap Como Avenue",NA,NA,NA," property damage and looting",NA,NA,NA,NA
" Chris Vale Cycles 27th Avenue",NA,NA,NA," property damage",NA,NA,NA,NA
" Dollar Tree Nicollet Avenue",NA,NA,NA," property damage",NA,NA,NA,NA
" Kmart Nicollet",NA,NA,NA," property damage"," looting",NA,NA,NA
" Office Depot Nicollet",NA,NA,NA," property damage"," looting"," flooding",NA,NA
" Longfellow/Seward Healthy Seniors",NA,"US Bank building on Lake",NA," property damage and looting",NA,NA,NA,NA
" Atlas Staffing",NA,NA,NA," 1st ave and lake",NA,NA,NA," destroyed by fire"
" Uncle Hugo's/Uncle Edgar's 28th and Chicago",NA,NA,NA," destroyed by fire",NA,NA,NA,NA
" Holiday Gas Station 46th and Hiawatha",NA,NA,NA," extensive fire damage",NA,NA,NA,NA
" Walgreens 46th and Hiawatha",NA,NA,NA," property damage and looting",NA,NA,NA,NA
" Kitchen Window Uptown",NA,NA,NA," extensive property damage"," looting",NA,NA,NA
" Popeyes Lake",NA,NA,NA," property damage",NA,NA,NA,NA
" Hooks Fish and Chicken West Lake",NA,NA,NA," property damage",NA,NA,NA,NA
" Metro PCS West Lake",NA,NA,NA," property damage",NA,NA,NA,NA
" Pawn Shop West Lake",NA,NA,NA," property damage",NA,NA,NA,NA
" Grand Managament Inc. Lyndale",NA,NA,NA," property damage",NA,NA,NA,NA
" Kyle's Market W 36th Street",NA,NA,NA," property damage",NA,NA,NA,NA
" Pearl Vision Nicollet",NA,NA,NA," property damage",NA,NA,NA,NA
" Galactic Pizza",NA,NA,NA," property damage",NA,NA,NA,NA
" Marathon Lyndale and 28th",NA,NA,NA," property damage",NA,NA,NA,NA
" Williams Uptown Pub & Peanut Bar",NA,NA,NA," property damage",NA,NA,NA,NA
" Iron Door Pub",NA,NA,NA," fire damage",NA,NA,NA,NA
" Speedway LynLake",NA,NA,NA," extensive fire damage",NA,NA,NA,NA
" Family Dollar 36th & Nicollet",NA,NA,NA," destroyed by fire",NA,NA,NA,NA
" O'Reilly's Auto Parts 36th and Nicollet",NA,NA,NA," extensive fire damage",NA,NA,NA,NA
" Fade Factory Barber Shop",NA,NA,NA," extensive fire damage",NA,NA,NA,NA
" Hibachi Grill","Lake Street",NA,NA," fire damage",NA,NA,NA,NA
" Wells Fargo 31st and Nicollet",NA,NA,NA," property damage"," extensive fire damage",NA,NA,NA
" Commercial building",NA,"27th and East Lake",NA," extensive fire damage",NA,NA,NA,NA
" USPS",NA,"31st Street and 1st Avenue",NA," extensive fire damage and looting",NA,NA,NA,NA
" Shell Gas Station Park and Lake",NA,NA,NA," property damage"," fire"," and looting",NA,NA
" Migizi Communications 27th Avenue South",NA,NA,NA," destroyed by fire",NA,NA,NA,NA
" Olympic Cafe West Broadway",NA,NA,NA," destroyed by fire",NA,NA,NA,NA
" Metro by T-Mobile West Broadway",NA,NA,NA," fire damage",NA,NA,NA,NA
" Lyndale Tobacco",NA,"722 W. Lake St",NA," property damage",NA,NA,NA,NA
" Paper Source Uptown",NA,NA,NA," property damage and looting ",NA,NA,NA,NA
" Everett’s Foods","38th and Cedar",NA,NA," property damage and looting",NA,NA,NA,NA
" El Nuevo Rodeo Restaurante East Lake Street",NA,NA,NA," destroyed in fire",NA,NA,NA,NA
" Holiday 36th and Cedar",NA,NA,NA," broken windows and looting",NA,NA,NA,NA
" Matt's Bar 35th and Cedar",NA,NA,NA," broken window",NA,NA,NA,NA
" Subway",NA,"36th and Cedar",NA," broken windows ",NA,NA,NA,NA
" E&L Supermarket and Deli","Lowry Ave",NA,NA," property damage",NA,NA,NA,NA
" Nguyen Architects 26th and 27th",NA,NA,NA," destroyed in fire",NA,NA,NA,NA
" Pantry Food Market 52nd Ave N and Bryant Ave. N",NA,NA,NA," property damage and looting",NA,NA,NA,NA
" The Hub Bike Co-op",NA,NA,NA," property damage ",NA,NA,NA,NA
" Family Dollar 35th and Nicollet",NA,NA,NA," property damage",NA,NA,NA,NA
" Pat's Tap 35th and Nicollet",NA,NA,NA," property damage",NA,NA,NA,NA
